origin,destination,dist
Piano di Magadino sponda destra,Sonvico,58.26
Piano di Magadino sponda destra,Riviera,70.48
Piano di Magadino sponda destra,Piano di Magadino sponda sinistra,48.48
Piano di Magadino sponda destra,Pian Scairolo,59.52
Piano di Magadino sponda destra,Mendrisiotto,73.84
Piano di Magadino sponda destra,Melide,63.12
Piano di Magadino sponda destra,Malcantone,59.23
Piano di Magadino sponda destra,Leventina,91.48
Piano di Magadino sponda destra,Gambarogno,58.43
Piano di Magadino sponda destra,Chiasso,79.41
Piano di Magadino sponda destra,Capriasca,52.51
Piano di Magadino sponda destra,Blenio,84.02
Piano di Magadino sponda destra,Basso Vedeggio,53.22
Piano di Magadino sponda destra,Alto Vedeggio,44.64
Pian Scairolo,Zona Lugano,38.33
Pian Scairolo,Zona Locarno,44.21
Pian Scairolo,Zona Bellinzona,34.09
Pian Scairolo,Vallemaggia,62.06
Pian Scairolo,Valle Verzasca,53.34
Pian Scairolo,Stabio,58.71
Pian Scairolo,Sonvico,40.43
Pian Scairolo,Riviera,52.65
Pian Scairolo,Piano di Magadino sponda sinistra,30.65
Pian Scairolo,Piano di Magadino sponda destra,35.04
Pian Scairolo,Mendrisiotto,56.01
Pian Scairolo,Melide,45.3
Pian Scairolo,Malcantone,41.4
Pian Scairolo,Leventina,73.65
Pian Scairolo,Gambarogno,40.61
Pian Scairolo,Chiasso,61.58
Pian Scairolo,Capriasca,34.68
Pian Scairolo,Blenio,66.19
Pian Scairolo,Basso Vedeggio,35.4
Pian Scairolo,Alto Vedeggio,26.81
Mendrisiotto,Zona Lugano,51.98
Mendrisiotto,Zona Locarno,57.87
Mendrisiotto,Zona Bellinzona,47.75
Mendrisiotto,Vallemaggia,75.72
Mendrisiotto,Valle Verzasca,67.0
Mendrisiotto,Stabio,72.36
Mendrisiotto,Sonvico,54.09
Mendrisiotto,Riviera,66.31
Mendrisiotto,Piano di Magadino sponda sinistra,44.31
Mendrisiotto,Piano di Magadino sponda destra,48.7
Mendrisiotto,Pian Scairolo,55.35
Mendrisiotto,Melide,58.95
Mendrisiotto,Malcantone,55.06
Mendrisiotto,Leventina,87.31
Mendrisiotto,Gambarogno,54.26
Mendrisiotto,Chiasso,75.24
Mendrisiotto,Capriasca,48.34
Mendrisiotto,Blenio,79.85
Mendrisiotto,Basso Vedeggio,49.05
Mendrisiotto,Alto Vedeggio,40.47
Melide,Zona Lugano,43.42
Melide,Zona Locarno,49.31
Melide,Zona Bellinzona,39.19
Melide,Vallemaggia,67.16
Melide,Valle Verzasca,58.44
Melide,Stabio,63.81
Melide,Sonvico,45.53
Melide,Riviera,57.75
Melide,Piano di Magadino sponda sinistra,35.75
Melide,Piano di Magadino sponda destra,40.14
Melide,Pian Scairolo,46.79
Melide,Mendrisiotto,61.11
Melide,Malcantone,46.5
Melide,Leventina,78.75
Melide,Gambarogno,45.7
Melide,Chiasso,66.68
Melide,Capriasca,39.78
Melide,Blenio,71.29
Melide,Basso Vedeggio,40.5
Melide,Alto Vedeggio,31.91
Malcantone,Zona Lugano,37.62
Malcantone,Zona Locarno,43.51
Malcantone,Zona Bellinzona,33.39
Malcantone,Vallemaggia,61.36
Malcantone,Valle Verzasca,52.64
Malcantone,Stabio,58.0
Malcantone,Sonvico,39.73
Malcantone,Riviera,51.95
Malcantone,Piano di Magadino sponda sinistra,29.95
Malcantone,Piano di Magadino sponda destra,34.34
Malcantone,Pian Scairolo,40.99
Malcantone,Mendrisiotto,55.31
Malcantone,Melide,44.59
Malcantone,Leventina,72.95
Malcantone,Gambarogno,39.9
Malcantone,Chiasso,60.88
Malcantone,Capriasca,33.98
Malcantone,Blenio,65.49
Malcantone,Basso Vedeggio,34.69
Malcantone,Alto Vedeggio,26.11
Leventina,Zona Lugano,95.26
Leventina,Zona Locarno,101.15
Leventina,Zona Bellinzona,91.03
Leventina,Vallemaggia,119.0
Leventina,Valle Verzasca,110.28
Leventina,Stabio,115.64
Leventina,Sonvico,97.37
Leventina,Riviera,109.59
Leventina,Piano di Magadino sponda sinistra,87.59
Leventina,Piano di Magadino sponda destra,91.98
Leventina,Pian Scairolo,98.63
Leventina,Mendrisiotto,112.95
Leventina,Melide,102.23
Leventina,Malcantone,98.34
Leventina,Gambarogno,97.54
Leventina,Chiasso,118.52
Leventina,Capriasca,91.62
Leventina,Blenio,123.13
Leventina,Basso Vedeggio,92.33
Leventina,Alto Vedeggio,83.75
Gambarogno,Zona Lugano,61.63
Gambarogno,Zona Locarno,67.51
Gambarogno,Zona Bellinzona,57.39
Gambarogno,Vallemaggia,85.36
Gambarogno,Valle Verzasca,76.64
Gambarogno,Stabio,82.01
Gambarogno,Sonvico,63.73
Gambarogno,Riviera,75.95
Gambarogno,Piano di Magadino sponda sinistra,53.95
Gambarogno,Piano di Magadino sponda destra,58.34
Gambarogno,Pian Scairolo,65.0
Gambarogno,Mendrisiotto,79.31
Gambarogno,Melide,68.6
Gambarogno,Malcantone,64.7
Gambarogno,Leventina,96.95
Gambarogno,Chiasso,84.88
Gambarogno,Capriasca,57.98
Gambarogno,Blenio,89.49
Gambarogno,Basso Vedeggio,58.7
Gambarogno,Alto Vedeggio,50.11
Chiasso,Zona Lugano,57.79
Chiasso,Zona Locarno,63.68
Chiasso,Zona Bellinzona,53.56
Chiasso,Vallemaggia,81.53
Chiasso,Valle Verzasca,72.81
Chiasso,Stabio,78.17
Chiasso,Sonvico,59.9
Chiasso,Riviera,72.12
Chiasso,Piano di Magadino sponda sinistra,50.11
Chiasso,Piano di Magadino sponda destra,54.5
Chiasso,Pian Scairolo,61.16
Chiasso,Mendrisiotto,75.48
Chiasso,Melide,64.76
Chiasso,Malcantone,60.87
Chiasso,Leventina,93.12
Chiasso,Gambarogno,60.07
Chiasso,Capriasca,54.15
Chiasso,Blenio,85.65
