origin,destination,time
Melide,Capriasca,30.91
Melide,Blenio,44.42
Melide,Basso Vedeggio,27.68
Melide,Alto Vedeggio,22.48
Malcantone,Zona Lugano,27.92
Malcantone,Zona Locarno,36.3
Malcantone,Zona Bellinzona,25.27
Malcantone,Vallemaggia,53.61
Malcantone,Valle Verzasca,49.01
Malcantone,Stabio,37.95
Malcantone,Sonvico,30.23
Malcantone,Riviera,34.46
Malcantone,Piano di Magadino sponda sinistra,24.13
Malcantone,Piano di Magadino sponda destra,29.89
Malcantone,Pian Scairolo,29.87
Malcantone,Mendrisiotto,37.49
Malcantone,Melide,30.72
Malcantone,Leventina,45.74
Malcantone,Gambarogno,35.89
Malcantone,Chiasso,39.75
Malcantone,Capriasca,30.83
Malcantone,Blenio,44.34
Malcantone,Basso Vedeggio,27.61
Malcantone,Alto Vedeggio,22.4
Leventina,Zona Lugano,55.1
Leventina,Zona Locarno,63.48
Leventina,Zona Bellinzona,52.45
Leventina,Vallemaggia,80.79
Leventina,Valle Verzasca,76.19
Leventina,Stabio,65.13
Leventina,Sonvico,57.41
Leventina,Riviera,61.64
Leventina,Piano di Magadino sponda sinistra,51.31
Leventina,Piano di Magadino sponda destra,57.07
Leventina,Pian Scairolo,57.05
Leventina,Mendrisiotto,64.67
Leventina,Melide,57.9
Leventina,Malcantone,59.14
Leventina,Gambarogno,63.07
Leventina,Chiasso,66.93
Leventina,Capriasca,58.01
Leventina,Blenio,71.52
Leventina,Basso Vedeggio,54.79
Leventina,Alto Vedeggio,49.58
Gambarogno,Zona Lugano,45.3
Gambarogno,Zona Locarno,53.68
Gambarogno,Zona Bellinzona,42.65
Gambarogno,Vallemaggia,70.99
Gambarogno,Valle Verzasca,66.39
Gambarogno,Stabio,55.33
Gambarogno,Sonvico,47.61
Gambarogno,Riviera,51.84
Gambarogno,Piano di Magadino sponda sinistra,41.51
Gambarogno,Piano di Magadino sponda destra,47.27
Gambarogno,Pian Scairolo,47.25
Gambarogno,Mendrisiotto,54.87
Gambarogno,Melide,48.1
Gambarogno,Malcantone,49.34
Gambarogno,Leventina,63.12
Gambarogno,Chiasso,57.13
Gambarogno,Capriasca,48.21
Gambarogno,Blenio,61.72
Gambarogno,Basso Vedeggio,44.99
Gambarogno,Alto Vedeggio,39.78
Chiasso,Zona Lugano,35.85
Chiasso,Zona Locarno,44.23
Chiasso,Zona Bellinzona,33.2
Chiasso,Vallemaggia,61.54
Chiasso,Valle Verzasca,56.94
Chiasso,Stabio,45.88
Chiasso,Sonvico,38.16
Chiasso,Riviera,42.39
Chiasso,Piano di Magadino sponda sinistra,32.06
Chiasso,Piano di Magadino sponda destra,37.81
Chiasso,Pian Scairolo,37.79
Chiasso,Mendrisiotto,45.42
Chiasso,Melide,38.65
Chiasso,Malcantone,39.89
Chiasso,Leventina,53.67
Chiasso,Gambarogno,43.82
Chiasso,Capriasca,38.76
Chiasso,Blenio,52.27
Chiasso,Basso Vedeggio,35.54
Chiasso,Alto Vedeggio,30.33
Capriasca,Zona Lugano,27.61
Capriasca,Zona Locarno,35.98
Capriasca,Zona Bellinzona,24.95
Capriasca,Vallemaggia,53.29
Capriasca,Valle Verzasca,48.7
Capriasca,Stabio,37.63
Capriasca,Sonvico,29.91
Capriasca,Riviera,34.15
Capriasca,Piano di Magadino sponda sinistra,23.82
Capriasca,Piano di Magadino sponda destra,29.57
Capriasca,Pian Scairolo,29.55
Capriasca,Mendrisiotto,37.17
Capriasca,Melide,30.4
Capriasca,Malcantone,31.65
Capriasca,Leventina,45.42
Capriasca,Gambarogno,35.58
Capriasca,Chiasso,39.44
Capriasca,Blenio,44.03
Capriasca,Basso Vedeggio,27.29
Capriasca,Alto Vedeggio,22.09
Blenio,Zona Lugano,54.42
